SITE CODE,Year,Month,Day,Hour,BarometricPressure(hPa),BarometricPressure(PSI)
SMO,2020,1,4,0,999.24,14.48898
SMO,2020,1,4,1,998.74,14.48173
SMO,2020,1,4,2,998.53,14.478685
SMO,2020,1,4,3,998.84,14.48318
SMO,2020,1,4,4,999.46,14.49217
SMO,2020,1,4,5,1000.24,14.50348
SMO,2020,1,4,6,1000.99,14.514355
SMO,2020,1,4,7,1001.55,14.522475
SMO,2020,1,4,8,1001.98,14.52871
SMO,2020,1,4,9,1002.05,14.529725
SMO,2020,1,4,10,1001.83,14.526535
SMO,2020,1,4,11,1001.26,14.51827
SMO,2020,1,4,12,1000.6,14.5087
SMO,2020,1,4,13,1000.4,14.5058
SMO,2020,1,4,14,1000.14,14.50203
SMO,2020,1,4,15,1000.22,14.50319
SMO,2020,1,4,16,1000.98,14.51421
SMO,2020,1,4,17,1001.92,14.52784
SMO,2020,1,4,18,1002.8,14.5406
SMO,2020,1,4,19,1003.02,14.54379
SMO,2020,1,4,20,1003.07,14.544515
SMO,2020,1,4,21,1002.93,14.542485
SMO,2020,1,4,22,1002.72,14.53944
SMO,2020,1,4,23,1002.22,14.53219
SMO,2020,1,5,0,1002.05,14.529725
SMO,2020,1,5,1,1001.88,14.52726
SMO,2020,1,5,2,1001.5,14.52175
SMO,2020,1,5,3,1001.5,14.52175
SMO,2020,1,5,4,1001.83,14.526535
SMO,2020,1,5,5,1002.29,14.533205
SMO,2020,1,5,6,1002.75,14.539875
SMO,2020,1,5,7,1002.99,14.543355
SMO,2020,1,5,8,1003.1,14.54495
SMO,2020,1,5,9,1003.14,14.54553
SMO,2020,1,5,10,1002.94,14.54263
SMO,2020,1,5,11,1002.57,14.537265
SMO,2020,1,5,12,1002.07,14.530015
SMO,2020,1,5,13,1001.37,14.519865
SMO,2020,1,5,14,1000.87,14.512615
SMO,2020,1,5,15,1000.73,14.510585
SMO,2020,1,5,16,1001.25,14.518125
SMO,2020,1,5,17,1001.93,14.527985
SMO,2020,1,5,18,1002.62,14.53799
SMO,2020,1,5,19,1002.74,14.53973
SMO,2020,1,5,20,1002.6,14.5377
SMO,2020,1,5,21,1002.56,14.53712
SMO,2020,1,5,22,1002.12,14.53074
SMO,2020,1,5,23,1001.62,14.52349
SMO,2020,1,6,0,1001.14,14.51653
SMO,2020,1,6,1,1000.34,14.50493
SMO,2020,1,6,2,1000.07,14.501015
SMO,2020,1,6,3,999.97,14.499565
SMO,2020,1,6,4,1000.34,14.50493
SMO,2020,1,6,5,1001.05,14.515225
SMO,2020,1,6,6,1001.78,14.52581
SMO,2020,1,6,7,1002.29,14.533205
SMO,2020,1,6,8,1002.57,14.537265
SMO,2020,1,6,9,1002.71,14.539295
SMO,2020,1,6,10,1002.63,14.538135
SMO,2020,1,6,11,1002.13,14.530885
SMO,2020,1,6,12,1001.28,14.51856
SMO,2020,1,6,13,1000.7,14.51015
SMO,2020,1,6,14,1000.37,14.505365
SMO,2020,1,6,15,1000.37,14.505365
SMO,2020,1,6,16,1000.76,14.51102
SMO,2020,1,6,17,1001.27,14.518415
SMO,2020,1,6,18,1001.73,14.525085
SMO,2020,1,6,19,1001.88,14.52726
SMO,2020,1,6,20,1002.05,14.529725
SMO,2020,1,6,21,1002.05,14.529725
SMO,2020,1,6,22,1001.89,14.527405
SMO,2020,1,6,23,1001.17,14.516965
SMO,2020,1,7,0,1000.44,14.50638
SMO,2020,1,7,1,999.72,14.49594
SMO,2020,1,7,2,998.95,14.484775
SMO,2020,1,7,3,998.83,14.483035
SMO,2020,1,7,4,999.12,14.48724
SMO,2020,1,7,5,999.57,14.493765
SMO,2020,1,7,6,1000.12,14.50174
SMO,2020,1,7,7,1000.46,14.50667
SMO,2020,1,7,8,1000.87,14.512615
SMO,2020,1,7,9,1001.1,14.51595
SMO,2020,1,7,10,1000.94,14.51363
SMO,2020,1,7,11,1000.37,14.505365
SMO,2020,1,7,12,999.93,14.498985
SMO,2020,1,7,13,999.64,14.49478
SMO,2020,1,7,14,999.46,14.49217
SMO,2020,1,7,15,999.49,14.492605
SMO,2020,1,7,16,1000.15,14.502175
SMO,2020,1,7,17,1000.55,14.507975
SMO,2020,1,7,18,1001.15,14.516675
SMO,2020,1,7,19,1001.51,14.521895
SMO,2020,1,7,20,1001.74,14.52523
SMO,2020,1,7,21,1001.59,14.523055
SMO,2020,1,7,22,1001.25,14.518125
SMO,2020,1,7,23,1000.55,14.507975
SMO,2020,1,8,0,1000.18,14.50261
SMO,2020,1,8,1,999.5,14.49275
SMO,2020,1,8,2,999.34,14.49043
SMO,2020,1,8,3,999.52,14.49304
SMO,2020,1,8,4,1000.26,14.50377
SMO,2020,1,8,5,1000.54,14.50783
SMO,2020,1,8,6,1001,14.5145
SMO,2020,1,8,7,1001.24,14.51798
SMO,2020,1,8,8,1001.48,14.52146
SMO,2020,1,8,9,1001.53,14.522185
SMO,2020,1,8,10,1001.5,14.52175
SMO,2020,1,8,11,1001.18,14.51711
SMO,2020,1,8,12,1000.57,14.508265
SMO,2020,1,8,13,1000.14,14.50203
SMO,2020,1,8,14,999.79,14.496955
SMO,2020,1,8,15,999.67,14.495215
SMO,2020,1,8,16,999.61,14.494345
SMO,2020,1,8,17,1000.21,14.503045
SMO,2020,1,8,18,1001.05,14.515225
SMO,2020,1,8,19,1001.48,14.52146
SMO,2020,1,8,20,1001.27,14.518415
SMO,2020,1,8,21,1001.11,14.516095
SMO,2020,1,8,22,1000.87,14.512615
SMO,2020,1,8,23,1000.48,14.50696
SMO,2020,1,9,0,999.9,14.49855
SMO,2020,1,9,1,999.46,14.49217
SMO,2020,1,9,2,999.05,14.486225
SMO,2020,1,9,3,998.99,14.485355
SMO,2020,1,9,4,999.22,14.48869
SMO,2020,1,9,5,999.66,14.49507
SMO,2020,1,9,6,1000.09,14.501305
SMO,2020,1,9,7,1000.51,14.507395
SMO,2020,1,9,8,1001.08,14.51566
SMO,2020,1,9,9,1001.12,14.51624
SMO,2020,1,9,10,1000.91,14.513195
SMO,2020,1,9,11,1000.36,14.50522
SMO,2020,1,9,12,999.49,14.492605
SMO,2020,1,9,13,998.85,14.483325
SMO,2020,1,9,14,998.57,14.479265
SMO,2020,1,9,15,998.43,14.477235
SMO,2020,1,9,16,998.78,14.48231
SMO,2020,1,9,17,999.5,14.49275
SMO,2020,1,9,18,999.76,14.49652
SMO,2020,1,9,19,999.88,14.49826
SMO,2020,1,9,20,999.98,14.49971
SMO,2020,1,9,21,999.76,14.49652
SMO,2020,1,9,22,999.29,14.489705
SMO,2020,1,9,23,998.9,14.48405
SMO,2020,1,10,0,998.34,14.47593
SMO,2020,1,10,1,997.7,14.46665
SMO,2020,1,10,2,996.98,14.45621
SMO,2020,1,10,3,996.61,14.450845
SMO,2020,1,10,4,996.88,14.45476
SMO,2020,1,10,5,997.43,14.462735
SMO,2020,1,10,6,997.98,14.47071
SMO,2020,1,10,7,998.28,14.47506
SMO,2020,1,10,8,998.65,14.480425
SMO,2020,1,10,9,998.75,14.481875
SMO,2020,1,10,10,998.61,14.479845
SMO,2020,1,10,11,997.96,14.47042
SMO,2020,1,10,12,997.28,14.46056
SMO,2020,1,10,13,996.79,14.453455
SMO,2020,1,10,14,996.02,14.44229
SMO,2020,1,10,15,995.74,14.43823
SMO,2020,1,10,16,996.03,14.442435
SMO,2020,1,10,17,996.77,14.453165
SMO,2020,1,10,18,997.23,14.459835
SMO,2020,1,10,19,997.48,14.46346
SMO,2020,1,10,20,997.4,14.4623
SMO,2020,1,10,21,997.25,14.460125
SMO,2020,1,10,22,996.7,14.45215
SMO,2020,1,10,23,996.22,14.44519
SMO,2020,1,11,0,995.87,14.440115
SMO,2020,1,11,1,995.42,14.43359
SMO,2020,1,11,2,995.01,14.427645
SMO,2020,1,11,3,995.13,14.429385
SMO,2020,1,11,4,995.58,14.43591
SMO,2020,1,11,5,996.01,14.442145
SMO,2020,1,11,6,996.27,14.445915
SMO,2020,1,11,7,996.61,14.450845
SMO,2020,1,11,8,996.99,14.456355
SMO,2020,1,11,9,997.56,14.46462
SMO,2020,1,11,10,997.3,14.46085
SMO,2020,1,11,11,996.64,14.45128
SMO,2020,1,11,12,995.6,14.4362
SMO,2020,1,11,13,994.82,14.42489
SMO,2020,1,11,14,994.76,14.42402
SMO,2020,1,11,15,995.04,14.42808
SMO,2020,1,11,16,995.56,14.43562
SMO,2020,1,11,17,996.17,14.444465
SMO,2020,1,11,18,996.7,14.45215
SMO,2020,1,11,19,996.77,14.453165
SMO,2020,1,11,20,996.83,14.454035
SMO,2020,1,11,21,996.6,14.4507
SMO,2020,1,11,22,996.3,14.44635
SMO,2020,1,11,23,995.89,14.440405
SMO,2020,1,12,0,995.86,14.43997
SMO,2020,1,12,1,995.23,14.430835
SMO,2020,1,12,2,994.89,14.425905
SMO,2020,1,12,3,995.03,14.427935
SMO,2020,1,12,4,995.66,14.43707
SMO,2020,1,12,5,996.22,14.44519
SMO,2020,1,12,6,996.79,14.453455
SMO,2020,1,12,7,997.07,14.457515
SMO,2020,1,12,8,997.4,14.4623
SMO,2020,1,12,9,998.08,14.47216
SMO,2020,1,12,10,998,14.471
SMO,2020,1,12,11,997.52,14.46404
SMO,2020,1,12,12,996.74,14.45273
SMO,2020,1,12,13,996.11,14.443595
SMO,2020,1,12,14,996.04,14.44258
SMO,2020,1,12,15,996.05,14.442725
SMO,2020,1,12,16,996.44,14.44838
SMO,2020,1,12,17,997.25,14.460125
SMO,2020,1,12,18,997.68,14.46636
SMO,2020,1,12,19,998.09,14.472305
SMO,2020,1,12,20,998.23,14.474335
SMO,2020,1,12,21,998.1,14.47245
SMO,2020,1,12,22,997.8,14.4681
SMO,2020,1,12,23,997.33,14.461285
SMO,2020,1,13,0,997.59,14.465055
SMO,2020,1,13,1,997.29,14.460705
SMO,2020,1,13,2,996.51,14.449395
SMO,2020,1,13,3,995.87,14.440115
SMO,2020,1,13,4,996.1,14.44345
SMO,2020,1,13,5,996.42,14.44809
SMO,2020,1,13,6,996.77,14.453165
SMO,2020,1,13,7,997.11,14.458095
SMO,2020,1,13,8,997.17,14.458965
SMO,2020,1,13,9,997.28,14.46056
SMO,2020,1,13,10,997.03,14.456935
SMO,2020,1,13,11,996.47,14.448815
SMO,2020,1,13,12,995.98,14.44171
SMO,2020,1,13,13,995.37,14.432865
SMO,2020,1,13,14,995.23,14.430835
SMO,2020,1,13,15,995.14,14.42953
SMO,2020,1,13,16,995.65,14.436925
SMO,2020,1,13,17,996.08,14.44316
SMO,2020,1,13,18,996.7,14.45215
SMO,2020,1,13,19,996.76,14.45302
SMO,2020,1,13,20,996.6,14.4507
SMO,2020,1,13,21,996.09,14.443305
SMO,2020,1,13,22,995.64,14.43678
SMO,2020,1,13,23,995.39,14.433155
SMO,2020,1,14,0,995.3,14.43185
SMO,2020,1,14,1,995.39,14.433155
SMO,2020,1,14,2,995.23,14.430835
SMO,2020,1,14,3,995.01,14.427645
SMO,2020,1,14,4,995.37,14.432865
SMO,2020,1,14,5,995.89,14.440405
SMO,2020,1,14,6,996.03,14.442435
SMO,2020,1,14,7,996.16,14.44432
SMO,2020,1,14,8,996.35,14.447075
SMO,2020,1,14,9,996.66,14.45157
SMO,2020,1,14,10,996.57,14.450265
SMO,2020,1,14,11,995.98,14.44171
SMO,2020,1,14,12,995.59,14.436055
SMO,2020,1,14,13,994.87,14.425615
SMO,2020,1,14,14,994.46,14.41967
SMO,2020,1,14,15,994.55,14.420975
SMO,2020,1,14,16,994.83,14.425035
SMO,2020,1,14,17,995.37,14.432865
SMO,2020,1,14,18,996.28,14.44606
SMO,2020,1,14,19,996.44,14.44838
SMO,2020,1,14,20,996.32,14.44664
SMO,2020,1,14,21,996.29,14.446205
SMO,2020,1,14,22,995.83,14.439535
SMO,2020,1,14,23,995.24,14.43098
SMO,2020,1,15,0,994.93,14.426485
SMO,2020,1,15,1,994.51,14.420395
SMO,2020,1,15,2,994.24,14.41648
SMO,2020,1,15,3,994.2,14.4159
SMO,2020,1,15,4,994.77,14.424165
SMO,2020,1,15,5,995.55,14.435475
SMO,2020,1,15,6,996.2,14.4449
SMO,2020,1,15,7,996.16,14.44432
SMO,2020,1,15,8,995.71,14.437795
SMO,2020,1,15,9,995.53,14.435185
SMO,2020,1,15,10,995.47,14.434315
SMO,2020,1,15,11,995.17,14.429965
SMO,2020,1,15,12,994.62,14.42199
SMO,2020,1,15,13,993.92,14.41184
SMO,2020,1,15,14,993.56,14.40662
SMO,2020,1,15,15,993.36,14.40372
SMO,2020,1,15,16,993.71,14.408795
SMO,2020,1,15,17,994.53,14.420685
SMO,2020,1,15,18,994.5,14.42025
SMO,2020,1,15,19,994.42,14.41909
SMO,2020,1,15,20,994.32,14.41764
SMO,2020,1,15,21,993.92,14.41184
SMO,2020,1,15,22,993.4,14.4043
SMO,2020,1,15,23,992.72,14.39444
SMO,2020,1,16,0,992.31,14.388495
SMO,2020,1,16,1,991.92,14.38284
SMO,2020,1,16,2,991.68,14.37936
SMO,2020,1,16,3,991.81,14.381245
SMO,2020,1,16,4,992.25,14.387625
SMO,2020,1,16,5,992.91,14.397195
SMO,2020,1,16,6,993.6,14.4072
SMO,2020,1,16,7,994.07,14.414015
SMO,2020,1,16,8,994.59,14.421555
SMO,2020,1,16,9,994.86,14.42547
SMO,2020,1,16,10,994.74,14.42373
SMO,2020,1,16,11,994.33,14.417785
SMO,2020,1,16,12,993.47,14.405315
SMO,2020,1,16,13,993.01,14.398645
SMO,2020,1,16,14,992.82,14.39589
SMO,2020,1,16,15,992.81,14.395745
SMO,2020,1,16,16,993.25,14.402125
SMO,2020,1,16,17,993.92,14.41184
SMO,2020,1,16,18,994.9,14.42605
SMO,2020,1,16,19,995.33,14.432285
SMO,2020,1,16,20,995.13,14.429385
SMO,2020,1,16,21,994.69,14.423005
SMO,2020,1,16,22,994.16,14.41532
SMO,2020,1,16,23,993.82,14.41039
SMO,2020,1,17,0,993.82,14.41039
SMO,2020,1,17,1,993.61,14.407345
SMO,2020,1,17,2,993.34,14.40343
SMO,2020,1,17,3,993.38,14.40401
SMO,2020,1,17,4,993.25,14.402125
SMO,2020,1,17,5,993.52,14.40604
SMO,2020,1,17,6,994.38,14.41851
SMO,2020,1,17,7,994.87,14.425615
SMO,2020,1,17,8,995.06,14.42837
SMO,2020,1,17,9,995.44,14.43388
SMO,2020,1,17,10,995.68,14.43736
SMO,2020,1,17,11,995.48,14.43446
SMO,2020,1,17,12,995.04,14.42808
SMO,2020,1,17,13,994.54,14.42083
SMO,2020,1,17,14,993.88,14.41126
SMO,2020,1,17,15,993.81,14.410245
SMO,2020,1,17,16,993.81,14.410245
SMO,2020,1,17,17,994.39,14.418655
SMO,2020,1,17,18,994.53,14.420685
SMO,2020,1,17,19,994.76,14.42402
SMO,2020,1,17,20,994.83,14.425035
SMO,2020,1,17,21,994.39,14.418655
SMO,2020,1,17,22,994.4,14.4188
SMO,2020,1,17,23,993.76,14.40952
SMO,2020,1,18,0,993.59,14.407055
SMO,2020,1,18,1,993.8,14.4101
SMO,2020,1,18,2,993.25,14.402125
SMO,2020,1,18,3,992.33,14.388785
SMO,2020,1,18,4,992.48,14.39096
SMO,2020,1,18,5,993.25,14.402125
SMO,2020,1,18,6,993.87,14.411115
SMO,2020,1,18,7,994.5,14.42025
SMO,2020,1,18,8,994.94,14.42663
SMO,2020,1,18,9,995.57,14.435765
SMO,2020,1,18,10,995.65,14.436925
SMO,2020,1,18,11,995.32,14.43214
SMO,2020,1,18,12,994.57,14.421265
SMO,2020,1,18,13,993.83,14.410535
SMO,2020,1,18,14,994.24,14.41648
SMO,2020,1,18,15,994.92,14.42634
SMO,2020,1,18,16,995.67,14.437215
SMO,2020,1,18,17,997.01,14.456645
SMO,2020,1,18,18,997.74,14.46723
SMO,2020,1,18,19,997.97,14.470565
SMO,2020,1,18,20,998.54,14.47883
SMO,2020,1,18,21,998.41,14.476945
SMO,2020,1,18,22,998.02,14.47129
SMO,2020,1,18,23,997.75,14.467375
SMO,2020,1,19,0,997.34,14.46143
SMO,2020,1,19,1,996.78,14.45331
SMO,2020,1,19,2,996.02,14.44229
SMO,2020,1,19,3,995.84,14.43968
SMO,2020,1,19,4,996.46,14.44867
SMO,2020,1,19,5,997.57,14.464765
SMO,2020,1,19,6,998.36,14.47622
SMO,2020,1,19,7,999.57,14.493765
SMO,2020,1,19,8,999.68,14.49536
SMO,2020,1,19,9,999.27,14.489415
SMO,2020,1,19,10,999.17,14.487965
SMO,2020,1,19,11,998.61,14.479845
SMO,2020,1,19,12,997.98,14.47071
SMO,2020,1,19,13,997.81,14.468245
SMO,2020,1,19,14,997.95,14.470275
SMO,2020,1,19,15,997.72,14.46694
SMO,2020,1,19,16,997.9,14.46955
SMO,2020,1,19,17,998.7,14.48115
SMO,2020,1,19,18,999.31,14.489995
SMO,2020,1,19,19,999.86,14.49797
SMO,2020,1,19,20,999.69,14.495505
SMO,2020,1,19,21,999.8,14.4971
SMO,2020,1,19,22,999.8,14.4971
SMO,2020,1,19,23,998.78,14.48231
SMO,2020,1,20,0,997.99,14.470855
SMO,2020,1,20,1,997.35,14.461575
SMO,2020,1,20,2,997.25,14.460125
SMO,2020,1,20,3,997.4,14.4623
SMO,2020,1,20,4,997.82,14.46839
SMO,2020,1,20,5,998.11,14.472595
SMO,2020,1,20,6,998.77,14.482165
SMO,2020,1,20,7,999.32,14.49014
SMO,2020,1,20,8,999.76,14.49652
SMO,2020,1,20,9,999.97,14.499565
SMO,2020,1,20,10,999.7,14.49565
SMO,2020,1,20,11,998.99,14.485355
SMO,2020,1,20,12,998.46,14.47767
SMO,2020,1,20,13,997.41,14.462445
SMO,2020,1,20,14,997.33,14.461285
SMO,2020,1,20,15,997.24,14.45998
SMO,2020,1,20,16,997.74,14.46723
SMO,2020,1,20,17,998.56,14.47912
SMO,2020,1,20,18,999.05,14.486225
SMO,2020,1,20,19,999.57,14.493765
SMO,2020,1,20,20,999.71,14.495795
SMO,2020,1,20,21,999.28,14.48956
SMO,2020,1,20,22,998.89,14.483905
SMO,2020,1,20,23,998.87,14.483615
SMO,2020,1,21,0,998.18,14.47361
SMO,2020,1,21,1,997.51,14.463895
SMO,2020,1,21,2,997.1,14.45795
SMO,2020,1,21,3,996.87,14.454615
SMO,2020,1,21,4,996.68,14.45186
SMO,2020,1,21,5,997.27,14.460415
SMO,2020,1,21,6,998.27,14.474915
SMO,2020,1,21,7,998.94,14.48463
SMO,2020,1,21,8,999.38,14.49101
SMO,2020,1,21,9,1000.01,14.500145
SMO,2020,1,21,10,999.76,14.49652
SMO,2020,1,21,11,999.21,14.488545
SMO,2020,1,21,12,998.71,14.481295
SMO,2020,1,21,13,998.09,14.472305
SMO,2020,1,21,14,997.64,14.46578
SMO,2020,1,21,15,997.6,14.4652
SMO,2020,1,21,16,998.25,14.474625
SMO,2020,1,21,17,998.84,14.48318
SMO,2020,1,21,18,999.24,14.48898
SMO,2020,1,21,19,999.47,14.492315
SMO,2020,1,21,20,999.51,14.492895
SMO,2020,1,21,21,999.43,14.491735
SMO,2020,1,21,22,999.15,14.487675
SMO,2020,1,21,23,998.56,14.47912
SMO,2020,1,22,0,997.96,14.47042
SMO,2020,1,22,1,997.61,14.465345
SMO,2020,1,22,2,997.16,14.45882
SMO,2020,1,22,3,996.98,14.45621
SMO,2020,1,22,4,997.23,14.459835
SMO,2020,1,22,5,997.65,14.465925
SMO,2020,1,22,6,998.35,14.476075
SMO,2020,1,22,7,998.87,14.483615
SMO,2020,1,22,8,999.33,14.490285
SMO,2020,1,22,9,999.68,14.49536
SMO,2020,1,22,10,999.74,14.49623
SMO,2020,1,22,11,998.98,14.48521
SMO,2020,1,22,12,997.96,14.47042
SMO,2020,1,22,13,996.84,14.45418
SMO,2020,1,22,14,996.99,14.456355
SMO,2020,1,22,15,997.18,14.45911
SMO,2020,1,22,16,997.46,14.46317
SMO,2020,1,22,17,997.87,14.469115
SMO,2020,1,22,18,998.44,14.47738
SMO,2020,1,22,19,998.57,14.479265
SMO,2020,1,22,20,998.73,14.481585
SMO,2020,1,22,21,998.51,14.478395
SMO,2020,1,22,22,998.22,14.47419
SMO,2020,1,22,23,997.76,14.46752
SMO,2020,1,23,0,997.41,14.462445
SMO,2020,1,23,1,996.98,14.45621
SMO,2020,1,23,2,996.3,14.44635
SMO,2020,1,23,3,996.04,14.44258
SMO,2020,1,23,4,996.36,14.44722
SMO,2020,1,23,5,996.84,14.45418
SMO,2020,1,23,6,997.28,14.46056
SMO,2020,1,23,7,997.74,14.46723
SMO,2020,1,23,8,998.23,14.474335
SMO,2020,1,23,9,998.62,14.47999
SMO,2020,1,23,10,998.37,14.476365
SMO,2020,1,23,11,997.7,14.46665
SMO,2020,1,23,12,996.96,14.45592
SMO,2020,1,23,13,996.25,14.445625
SMO,2020,1,23,14,995.99,14.441855
SMO,2020,1,23,15,995.91,14.440695
SMO,2020,1,23,16,996.04,14.44258
SMO,2020,1,23,17,996.11,14.443595
SMO,2020,1,23,18,996.77,14.453165
SMO,2020,1,23,19,997.33,14.461285
SMO,2020,1,23,20,997.47,14.463315
SMO,2020,1,23,21,997.3,14.46085
SMO,2020,1,23,22,996.79,14.453455
SMO,2020,1,23,23,996.21,14.445045
SMO,2020,1,24,0,995.66,14.43707
SMO,2020,1,24,1,995.22,14.43069
SMO,2020,1,24,2,994.78,14.42431
SMO,2020,1,24,3,994.67,14.422715
SMO,2020,1,24,4,995.07,14.428515
SMO,2020,1,24,5,995.66,14.43707
SMO,2020,1,24,6,996.22,14.44519
SMO,2020,1,24,7,996.8,14.4536
SMO,2020,1,24,8,997.26,14.46027
SMO,2020,1,24,9,997.63,14.465635
SMO,2020,1,24,10,997.38,14.46201
SMO,2020,1,24,11,996.85,14.454325
SMO,2020,1,24,12,996.25,14.445625
SMO,2020,1,24,13,995.72,14.43794
SMO,2020,1,24,14,995.5,14.43475
SMO,2020,1,24,15,995.69,14.437505
SMO,2020,1,24,16,995.98,14.44171
SMO,2020,1,24,17,996.82,14.45389
SMO,2020,1,24,18,997.62,14.46549
SMO,2020,1,24,19,998.04,14.47158
SMO,2020,1,24,20,998.27,14.474915
SMO,2020,1,24,21,998.26,14.47477
SMO,2020,1,24,22,998.22,14.47419
SMO,2020,1,24,23,997.93,14.469985
SMO,2020,1,25,0,997.4,14.4623
SMO,2020,1,25,1,996.98,14.45621
SMO,2020,1,25,2,996.7,14.45215
SMO,2020,1,25,3,996.99,14.456355
SMO,2020,1,25,4,997.18,14.45911
SMO,2020,1,25,5,997.76,14.46752
SMO,2020,1,25,6,998.41,14.476945
SMO,2020,1,25,7,998.99,14.485355
SMO,2020,1,25,8,999.3,14.48985
SMO,2020,1,25,9,999.6,14.4942
SMO,2020,1,25,10,999.49,14.492605
SMO,2020,1,25,11,999.05,14.486225
SMO,2020,1,25,12,998.49,14.478105
SMO,2020,1,25,13,997.97,14.470565
SMO,2020,1,25,14,997.55,14.464475
SMO,2020,1,25,15,997.68,14.46636
SMO,2020,1,25,16,998.09,14.472305
SMO,2020,1,25,17,998.52,14.47854
SMO,2020,1,25,18,999.04,14.48608
SMO,2020,1,25,19,999.04,14.48608
SMO,2020,1,25,20,999.26,14.48927
SMO,2020,1,25,21,999.54,14.49333
SMO,2020,1,25,22,999.32,14.49014
SMO,2020,1,25,23,998.88,14.48376
SMO,2020,1,26,0,998.29,14.475205
SMO,2020,1,26,1,998.08,14.47216
SMO,2020,1,26,2,997.7,14.46665
SMO,2020,1,26,3,997.44,14.46288
SMO,2020,1,26,4,997.83,14.468535
SMO,2020,1,26,5,998.54,14.47883
SMO,2020,1,26,6,999.13,14.487385
SMO,2020,1,26,7,999.47,14.492315
SMO,2020,1,26,8,999.85,14.497825
SMO,2020,1,26,9,1000.17,14.502465
SMO,2020,1,26,10,1000.29,14.504205
SMO,2020,1,26,11,999.98,14.49971
SMO,2020,1,26,12,999.08,14.48666
SMO,2020,1,26,13,998.5,14.47825
SMO,2020,1,26,14,997.86,14.46897
SMO,2020,1,26,15,997.75,14.467375
SMO,2020,1,26,16,998.15,14.473175
SMO,2020,1,26,17,998.6,14.4797
SMO,2020,1,26,18,999.14,14.48753
SMO,2020,1,26,19,999.49,14.492605
SMO,2020,1,26,20,999.78,14.49681
SMO,2020,1,26,21,999.53,14.493185
SMO,2020,1,26,22,999.27,14.489415
SMO,2020,1,26,23,999.05,14.486225
SMO,2020,1,27,0,998.59,14.479555
SMO,2020,1,27,1,998.17,14.473465
SMO,2020,1,27,2,998.02,14.47129
