 Usage ,Days of Usage,Billed Amount for Water,MTH/YR OF BILLING,Route#,LOSADD,RSP,Rate,LOMETW,Meter Size,,
" 4,490 ",30,34.61,202205,206,PAGO PAGO,RES,R,90277704,"5/8""",,
" 11,455 ",30,65.45,202205,206,PAGO PAGO,RES,R,90277703,"5/8""",,
 20 ,30,15.3,202205,206,PAGO PAGO,RES,R,90277702,"5/8""",,
" 4,759 ",30,35.78,202205,206,PAGO PAGO,RES,R,90277701,"5/8""",,
" 43,794 ",30,240.18,202205,206,PAGO PAGO,RES,R,90277700,"5/8""",,
" 15,186 ",30,83.44,202205,206,PAGO PAGO,RES,R,90277699,"5/8""",,
" 8,887 ",30,53.62,202205,206,PAGO PAGO,RES,R,90277698,"5/8""",,
" 51,671 ",30,286.04,202205,206,PAGO PAGO,RES,R,90277697,"5/8""",,
" 22,958 ",30,122.4,202205,206,PAGO PAGO,RES,R,90277696,"5/8""",,
" 14,861 ",30,81.87,202205,206,PAGO PAGO,RES,R,90277695,"5/8""",,
" 4,272 ",30,33.67,202205,206,PAGO PAGO,RES,R,90277694,"5/8""",,
" 22,990 ",30,122.56,202205,206,PAGO PAGO,RES,R,90277693,"5/8""",,
" 4,203 ",30,33.37,202205,206,PAGO PAGO,RES,R,90277692,"5/8""",,
" 5,895 ",30,40.68,202205,206,PAGO PAGO,RES,R,90277691,"5/8""",,
" 3,480 ",30,30.25,202205,206,PAGO PAGO,RES,R,90277690,"5/8""",,
" 4,725 ",30,35.63,202205,206,PAGO PAGO,RES,R,90277689,"5/8""",,
" 2,490 ",30,25.97,202205,206,PAGO PAGO,RES,R,90277688,"5/8""",,
" 7,244 ",30,46.52,202205,206,PAGO PAGO,RES,R,90277687,"5/8""",,
" 4,055 ",30,32.74,202205,206,PAGO PAGO,RES,R,90277686,"5/8""",,
 762 ,30,18.51,202205,303,NUUULI,RES,R,90277685,"5/8""",,
" 15,221 ",30,83.61,202205,206,PAGO PAGO,RES,R,90277684,"5/8""",,
" 7,297 ",30,46.75,202205,206,PAGO PAGO,RES,R,90277683,"5/8""",,
" 11,089 ",30,63.68,202205,206,PAGO PAGO,RES,R,90277682,"5/8""",,
" 2,724 ",30,26.98,202205,206,PAGO PAGO,RES,R,90277681,"5/8""",,
" 4,281 ",30,33.71,202205,307,NUUULI,RES,R,90277680,"5/8""",,
" 14,793 ",28,81.54,202205,408,AASU,RES,R,90277679,"5/8""",,
" 5,978 ",30,41.05,202205,337,VAITOGI,RES,R,90277678,"5/8""",,
" 1,834 ",30,23.14,202205,303,NUUULI,RES,R,90277677,"5/8""",,
" 18,305 ",30,98.47,202205,301,NUUULI,RES,R,90277676,"5/8""",,
 93 ,30,15.61,202205,329,PAVAIAI,RES,R,90277675,"5/8""",,
" 7,741 ",32,50.44,202205,312,TAFUNA,SGS,C,90277674,"5/8""",,
" 6,150 ",30,43.2,202205,322,NUUULI,SA,WP3,90277673,"5/8""",,
" 6,362 ",30,42.71,202205,206,PAGO PAGO,RES,R,90277672,"5/8""",,
" 3,731 ",30,31.33,202205,206,PAGO PAGO,RES,R,90277671,"5/8""",,
" 8,675 ",30,52.7,202205,206,PAGO PAGO,RES,R,90277670,"5/8""",,
" 11,888 ",30,67.54,202205,206,PAGO PAGO,RES,R,90277669,"5/8""",,
" 18,339 ",30,98.64,202205,206,PAGO PAGO,RES,R,90277668,"5/8""",,
" 10,380 ",30,60.26,202205,206,PAGO PAGO,RES,R,90277667,"5/8""",,
" 25,720 ",30,137.09,202205,206,PAGO PAGO,RES,R,90277666,"5/8""",,
" 15,161 ",30,83.32,202205,206,PAGO PAGO,RES,R,90277665,"5/8""",,
" 1,255 ",30,20.63,202205,206,PAGO PAGO,RES,R,90277664,"5/8""",,
" 8,745 ",30,53.01,202205,206,PAGO PAGO,RES,R,90277663,"5/8""",,
" 5,947 ",30,40.92,202205,206,PAGO PAGO,RES,R,90277662,"5/8""",,
" 3,790 ",30,31.59,202205,206,PAGO PAGO,RES,R,90277661,"5/8""",,
" 1,327 ",30,20.94,202205,206,PAGO PAGO,RES,R,90277660,"5/8""",,
" 13,945 ",30,77.45,202205,206,PAGO PAGO,RES,R,90277659,"5/8""",,
" 8,460 ",30,51.77,202205,206,PAGO PAGO,RES,R,90277658,"5/8""",,
" 15,658 ",30,85.71,202205,206,PAGO PAGO,RES,R,90277657,"5/8""",,
 -   ,28,15.21,202205,377,FAILOLO,RES,R,90277656,"5/8""",,
 -   ,28,15.21,202205,352,PAVAIAI,RES,R,90277654,"5/8""",,
 3 ,28,15.22,202205,352,PAVAIAI,RES,R,90277653,"5/8""",,
" 1,586 ",30,22.06,202205,346,FALENIU,RES,R,90277652,"5/8""",,
 702 ,30,18.24,202205,340,MALAEIMI,RES,R,90277651,"5/8""",,
 589 ,30,17.76,202205,346,FALENIU,RES,R,90277650,"5/8""",,
 -   ,28,15.21,202205,352,PAVAIAI,RES,R,90277649,"5/8""",,
" 10,796 ",32,62.27,202205,316,TAFUNA,RES,R,90277648,"5/8""",,
" 10,940 ",28,62.96,202205,354,MAPUSAGA FOU,RES,R,90277647,"5/8""",,
 -   ,23,15.21,202205,362,TAPUTIMU,RES,R,90277646,"5/8""",,
" 3,484 ",30,30.26,202205,340,FALENIU,RES,R,90277645,"5/8""",,
" 2,003 ",30,23.87,202205,322,NUUULI,RES,R,90277644,"5/8""",,
 -   ,28,15.21,202205,358,TAPUTIMU,RES,R,90277643,"5/8""",,
 66 ,28,15.49,202205,377,AFAO,RES,R,90277642,"5/8""",,
 67 ,28,15.5,202205,355,MAPUSAGA,RES,R,90277641,"5/8""",,
 521 ,32,17.46,202205,323,TAFUNA,RES,R,90277639,"5/8""",,
 33 ,28,15.36,202205,411,FAGALII,RES,R,90277638,"5/8""",,
 653 ,28,18.19,202205,348,PAVAIAI,SGS,C,90277637,"5/8""",,
" 6,966 ",28,45.32,202205,365,VAILOA,RES,R,90277636,"5/8""",,
" 1,379 ",30,21.17,202205,324,TAFUNA,RES,R,90277635,"5/8""",,
 -   ,32,15.21,202205,405,AFONO,RES,R,90277634,"5/8""",,
" 35,523 ",32,192.02,202205,106,AMOULI,RES,R,90277633,"5/8""",,
 622 ,30,17.9,202205,328,TAFUNA,RES,R,90277632,"5/8""",,
 7 ,30,15.24,202205,328,TAFUNA,SGS,C,90277631,"5/8""",,
 3 ,30,15.22,202205,328,TAFUNA,RES,R,90277630,"5/8""",,
 50 ,30,15.43,202205,329,PAVAIAI,RES,R,90277629,"5/8""",,
" 7,699 ",32,48.48,202205,103,ALAO,RES,R,90277628,"5/8""",,
 83 ,32,15.57,202205,221,PAGO PAGO,RES,R,90277627,"5/8""",,
" 11,398 ",28,65.17,202205,411,FAGALII,RES,R,90277626,"5/8""",,
" 11,492 ",30,65.62,202205,343,MESEPA,RES,R,90277625,"5/8""",,
" 5,372 ",30,38.43,202205,329,TAFUNA,RES,R,90277624,"5/8""",,
" 31,035 ",30,165.89,202205,214,FAGATOGO,RES,R,90277623,"5/8""",,
" 5,159 ",28,37.5,202205,352,PAVAIAI,RES,R,90277622,"5/8""",,
 -   ,30,15.21,202205,336,VAITOGI,RES,R,90277621,"5/8""",,
" 2,677 ",30,26.78,202205,346,FALENIU,RES,R,90277620,"5/8""",,
" 9,448 ",32,56.05,202205,338,VAITOGI,RES,R,90277619,"5/8""",,
" 6,026 ",30,41.26,202205,338,VAITOGI,RES,R,90277618,"5/8""",,
" 7,902 ",28,49.36,202205,354,MAPUSAGA FOU,RES,R,90277617,"5/8""",,
 376 ,32,17.93,202205,801,ATUU,SGS,C,90277616,"5/8""",,
" 2,937 ",32,27.91,202205,323,TAFUNA,RES,R,90277615,"5/8""",,
" 20,461 ",32,109.11,202205,323,TAFUNA,RES,R,90277614,"5/8""",,
" 8,638 ",32,52.54,202205,323,TAFUNA,RES,R,90277613,"5/8""",,
" 9,489 ",32,56.22,202205,323,TAFUNA,RES,R,90277612,"5/8""",,
 665 ,32,18.08,202205,323,TAFUNA,RES,R,90277611,"5/8""",,
 18 ,32,15.29,202205,323,TAFUNA,RES,R,90277610,"5/8""",,
" 7,702 ",32,48.5,202205,323,TAFUNA,RES,R,90277609,"5/8""",,
" 3,141 ",32,28.78,202205,323,TAFUNA,RES,R,90277600,"5/8""",,
" 2,366 ",27,25.44,202205,323,TAFUNA,RES,R,90277599,"5/8""",,
" 15,521 ",32,85.05,202205,323,TAFUNA,RES,R,90277598,"5/8""",,
 861 ,32,18.93,202205,323,TAFUNA,RES,R,90277597,"5/8""",,
" 6,307 ",32,42.47,202205,323,TAFUNA,RES,R,90277596,"5/8""",,
" 1,440 ",32,21.43,202205,323,TAFUNA,RES,R,90277595,"5/8""",,
" 6,531 ",32,43.44,202205,323,TAFUNA,RES,R,90277594,"5/8""",,
" 6,179 ",32,43.33,202205,323,TAFUNA,SGS,C,90277593,"5/8""",,
" 161,899 ",32,927.78,202205,323,TAFUNA,RES,R,90277592,"5/8""",,
" 7,268 ",32,46.62,202205,323,TAFUNA,RES,R,90277591,"5/8""",,
" 6,624 ",32,43.84,202205,323,TAFUNA,RES,R,90277590,"5/8""",,
" 10,196 ",32,59.37,202205,323,TAFUNA,RES,R,90277589,"5/8""",,
" 5,109 ",32,37.29,202205,323,TAFUNA,RES,R,90277588,"5/8""",,
" 5,446 ",32,38.75,202205,323,TAFUNA,RES,R,90277587,"5/8""",,
" 9,266 ",32,55.26,202205,323,TAFUNA,RES,R,90277586,"5/8""",,
" 11,848 ",32,67.34,202205,323,TAFUNA,RES,R,90277585,"5/8""",,
 434 ,4,4.01,202205,320,TAFUNA,ASG,GL2,90277577,"5/8""",,
 -   ,32,15.21,202205,203,PAGO PAGO,RES,R,90277576,"5/8""",,
" 7,487 ",28,47.57,202205,377,UTUMEA,RES,R,90277575,"5/8""",,
 -   ,22,15.21,202205,354,MAPUSAGA,RES,R,90277574,"5/8""",,
" 22,498 ",33,117.62,202205,310,TAFUNA,SGS,C,90277573,"5/8""",,
" 11,731 ",32,66.78,202205,201,PAGO PAGO,RES,R,90277572,"5/8""",,
" 46,046 ",28,253.29,202205,351,PAVAIAI,RES,R,90277571,"5/8""",,
 -   ,20,15.21,202205,340,FALENIU,SGS,R,90277570,"5/8""",,
" 3,007 ",28,28.21,202205,367,LEONE,RES,R,90277569,"5/8""",,
 -   ,7,3.55,202205,358,FUTIGA,RES,R,90277554,"5/8""",,
 -   ,3,1.52,202205,307,NUUULI,SGS,C,90277553,"5/8""",,
" 8,146 ",30,50.42,202205,346,FALENIU,RES,R,90277552,"5/8""",,
" 1,716 ",32,22.63,202205,315,TAFUNA,RES,R,90277551,"5/8""",,
" 20,502 ",32,108.53,202205,312,TAFUNA,SGS,C,90277550,"5/8""",,
 805 ,29,18.88,202205,308,NUUULI,SGS,C,90277549,"5/8""",,
" 3,033 ",28,28.32,202205,359,MALAELOA,RES,R,90277548,"5/8""",,
 15 ,32,15.27,202205,318,TAFUNA,RES,R,90277547,"5/8""",,
" 11,359 ",30,64.99,202205,332,ILIILI,RES,R,90277546,"5/8""",,
" 9,164 ",28,54.82,202205,354,MAPUSAGA FOU,RES,R,90277545,"5/8""",,
 -   ,34,15.21,202205,351,PAVAIAI,SGS,C,90277544,"5/8""",,
" 3,609 ",38,30.81,202205,308,NUUULI,RES,R,90277543,"5/8""",,
" 2,783 ",30,27.24,202205,207,PAGO PAGO,RES,R,90277542,"5/8""",,
" 5,352 ",30,38.34,202205,220,MATUU,RES,R,90277541,"5/8""",,
" 1,469 ",30,21.56,202205,330,TAFUNA,RES,R,90277540,"5/8""",,
 -   ,28,15.21,202205,369,LEONE,RES,R,90277539,"5/8""",,
" 14,749 ",28,81.33,202205,360,MALAELOA,RES,R,90277538,"5/8""",,
 655 ,32,18.04,202205,107,ALOFAU,RES,R,90277537,"5/8""",,
" 10,968 ",11,58.46,202205,401,MASEFAU,RES,R,90277536,"5/8""",,
 -   ,23,15.21,202205,355,MAPUSAGA FOU,RES,R,90277535,"5/8""",,
" 3,200 ",17,29.04,202205,346,FALENIU,RES,R,90277534,"5/8""",,
" 17,225 ",26,91.91,202205,316,TAFUNA,RES,R,90277533,"5/8""",,
 16 ,27,13.76,202205,411,FAGALII,RES,R,90277532,"5/8""",,
 515 ,9,6.78,202205,347,FALENIU,RES,R,90277531,"5/8""",,
" 5,683 ",28,39.77,202205,359,MALAELOA,RES,R,90277530,"5/8""",,
" 7,580 ",28,47.97,202205,355,MAPUSAGA FOU,RES,R,90277529,"5/8""",,
" 11,110 ",32,63.79,202205,323,TAFUNA,RES,R,90277528,"5/8""",,
" 15,077 ",32,82.91,202205,323,TAFUNA,RES,R,90277527,"5/8""",,
" 10,211 ",32,59.45,202205,323,TAFUNA,RES,R,90277526,"5/8""",,
" 7,610 ",32,48.1,202205,323,TAFUNA,RES,R,90277525,"5/8""",,
" 11,646 ",32,66.37,202205,323,TAFUNA,RES,R,90277524,"5/8""",,
" 95,123 ",32,539.01,202205,323,TAFUNA,RES,R,90277523,"5/8""",,
" 10,559 ",32,61.12,202205,323,TAFUNA,RES,R,90277522,"5/8""",,
" 8,495 ",32,51.93,202205,323,TAFUNA,RES,R,90277521,"5/8""",,
" 16,251 ",28,88.57,202205,409,AOLOAU,RES,R,90277520,"5/8""",,
" 7,626 ",30,48.17,202205,207,PAGO PAGO,RES,R,90277519,"5/8""",,
" 2,005 ",28,23.87,202205,360,MALAELOA,RES,R,90277518,"5/8""",,
" 5,912 ",28,40.76,202205,369,LEONE,RES,R,90277517,"5/8""",,
" 51,962 ",28,287.73,202205,377,AGUGULU,RES,R,90277516,"5/8""",,
 472 ,28,17.36,202205,348,PAVAIAI,SGS,C,90277515,"5/8""",,
" 7,706 ",30,48.51,202205,343,MESEPA,RES,R,90277513,"5/8""",,
" 1,621 ",30,22.21,202205,329,TAFUNA,RES,R,90277512,"5/8""",,
" 6,846 ",32,46.37,202205,328,ILIILI,SGS,C,90277511,"5/8""",,
" 1,164 ",30,20.24,202205,307,NUUULI,RES,R,90277510,"5/8""",,
" 6,242 ",32,43.62,202205,312,TAFUNA,SGS,C,90277509,"5/8""",,
 914 ,32,19.16,202205,109,LAULII,RES,R,90277508,"5/8""",,
" 1,189 ",30,20.35,202205,329,TAFUNA,RES,R,90277507,"5/8""",,
" 6,473 ",28,43.19,202205,362,TAPUTIMU,RES,R,90277506,"5/8""",,
" 3,918 ",32,32.14,202205,406,VATIA,RES,R,90277505,"5/8""",,
" 5,678 ",32,39.75,202205,203,PAGO PAGO,RES,R,90277504,"5/8""",,
 -   ,32,15.21,202205,401,MASEFAU,RES,R,90277503,"5/8""",,
" 4,746 ",28,35.72,202205,348,PAVAIAI,RES,R,90277502,"5/8""",,
" 5,686 ",32,39.78,202205,222,AUA,RES,R,90277501,"5/8""",,
 -   ,32,15.21,202205,222,AUA,RES,R,90277500,"5/8""",,
" 1,284 ",28,20.76,202205,348,PAVAIAI,RES,R,90277499,"5/8""",,
 488 ,28,17.43,202205,359,LEONE,SGS,C,90277498,"5/8""",,
 -   ,28,15.21,202205,371,LEONE,RES,R,90277497,"5/8""",,
" 2,074 ",30,24.18,202205,213,FAGATOGO,RES,R,90277496,"5/8""",,
 83 ,28,15.57,202205,359,LEONE,RES,R,90277495,"5/8""",,
 23 ,30,15.31,202205,304,NUUULI,RES,R,90277494,"5/8""",,
" 6,761 ",30,44.43,202205,303,NUUULI,RES,R,90277492,"5/8""",,
" 5,078 ",30,37.16,202205,209,FAGATOGO,RES,R,90277491,"5/8""",,
" 3,654 ",32,31,202205,106,AMOULI,RES,R,90277490,"5/8""",,
" 25,635 ",32,136.64,202205,323,TAFUNA,RES,R,90277489,"5/8""",,
" 2,675 ",28,27.39,202205,351,PAVAIAI,SGS,C,90277488,"5/8""",,
 37 ,31,15.37,202205,409,PAVAIAI,RES,R,90277487,"5/8""",,
" 1,343 ",30,21.01,202205,337,Vaitogi,RES,R,90277486,"5/8""",,
 -   ,32,15.21,202205,316,TAFUNA,RES,R,90277485,"5/8""",,
" 8,189 ",32,50.6,202205,320,TAFUNA,RES,R,90277484,"5/8""",,
" 5,150 ",32,37.47,202205,111,AUA,RES,R,90277483,"5/8""",,
" 10,777 ",30,62.18,202205,337,VAITOGI,RES,R,90277482,"5/8""",,
" 2,967 ",28,28.03,202205,362,TAPUTIMU,RES,R,90277481,"5/8""",,
" 4,359 ",30,35.05,202205,335,TAFUNA,SGS,C,90277480,"5/8""",,
" 3,242 ",32,29.23,202205,106,AMOULI,RES,R,90277479,"5/8""",,
 713 ,30,18.29,202205,329,PAVAIAI,RES,R,90277478,"5/8""",,
 257 ,30,16.32,202205,333,ILIILI,RES,R,90277477,"5/8""",,
" 1,095 ",28,19.95,202205,367,LEONE,RES,R,90277475,"5/8""",,
 406 ,30,17.06,202205,340,MALAEIMI,SGS,C,90277474,"5/8""",,
" 11,361 ",28,64.99,202205,411,FAGALII,RES,R,90277473,"5/8""",,
" 3,668 ",30,31.06,202205,307,NUUULI,RES,R,90277472,"5/8""",,
" 11,474 ",30,65.54,202205,307,NUUULI,RES,R,90277471,"5/8""",,
" 3,313 ",30,29.52,202205,307,NUUULI,RES,R,90277470,"5/8""",,
" 13,274 ",32,74.22,202205,403,MASAUSI,RES,R,90277469,"5/8""",,
 -   ,32,15.21,202205,106,AMOULI,RES,R,90277468,"5/8""",,
" 5,129 ",28,38.56,202205,360,MALAELOA,SGS,C,90277467,"5/8""",,
" 1,128 ",30,20.08,202205,329,PAVAIAI,RES,R,90277466,"5/8""",,
" 5,735 ",32,40,202205,112,FAGAITUA,RES,R,90277465,"5/8""",,
" 21,123 ",30,112.62,202205,336,VAITOGI,RES,R,90277464,"5/8""",,
" 4,270 ",32,34.65,202205,312,TAFUNA,SGS,C,90277463,"5/8""",,
" 2,493 ",28,25.99,202205,408,AASU,RES,R,90277462,"5/8""",,
" 1,875 ",30,23.75,202205,212,FAGATOGO,SGS,C,90277461,"5/8""",,
 463 ,32,17.21,202205,318,TAFUNA,RES,R,90277460,"5/8""",,
" 3,284 ",22,29.4,202205,307,NUUULI,RES,R,90277459,"5/8""",,
" 3,206 ",30,29.06,202205,340,NUUULI,RES,R,90277458,"5/8""",,
" 9,182 ",31,57,202205,601,AUNUU,SGS,C,90277457,"5/8""",,
" 6,546 ",38,45.01,202205,312,AUA,SGS,C,89376634,,,
 670 ,38,18.26,202205,328,TAFUNA,SGS,C,89376633,,,
 -   ,38,15.21,202205,310,TAFUNA,SA,WP2,89376629,,,
" 17,607 ",30,95.12,202205,346,FALENIU,RES,R,87778085,"5/8""",,
" 2,799 ",30,27.3,202205,329,TAFUNA,RES,R,87509289,"5/8""",,
" 8,424 ",30,51.62,202205,347,FALENIU,RES,R,87127615,,,
" 19,407 ",30,103.79,202205,336,VAITOGI,RES,R,87127614,"5/8""",,
" 18,985 ",32,101.76,202205,406,VATIA,RES,R,87127613,"5/8""",,
" 5,505 ",30,39,202205,332,TAFUNA,RES,R,87127612,"5/8""",,
" 1,810 ",30,23.04,202205,332,ILIILI,RES,R,87127611,"5/8""",,
" 1,091 ",30,19.93,202205,332,ILIILI,RES,R,87127610,"5/8""",,
" 10,982 ",30,63.17,202205,332,ILIILI,RES,R,87127609,"5/8""",,
" 3,089 ",30,28.56,202205,332,TAFUNA,RES,R,87127608,"5/8""",,
" 3,635 ",32,30.92,202205,315,TAFUNA,RES,R,87127607,"5/8""",,
" 18,031 ",30,97.16,202205,343,MALAEIMI,RES,R,87127606,"5/8""",,
 24 ,30,15.31,202205,220,MATUU,RES,R,87127605,"5/8""",,
" 6,439 ",30,43.04,202205,324,TAFUNA,RES,R,87127604,"5/8""",,
" 3,289 ",30,29.42,202205,330,FOGAGOGO,RES,R,87127603,"5/8""",,
" 1,498 ",30,21.68,202205,332,TAFUNA,RES,R,87127601,"5/8""",,
" 3,084 ",30,28.54,202205,324,TAFUNA,RES,R,87127600,"5/8""",,
" 6,779 ",30,44.5,202205,324,TAFUNA,RES,R,87127599,"5/8""",,
 720 ,30,18.32,202205,324,TAFUNA,RES,R,87127598,"5/8""",,
" 52,614 ",30,291.52,202205,324,TAFUNA,RES,R,87127597,"5/8""",,
" 105,777 ",30,601.04,202205,324,TAFUNA,RES,R,87127596,"5/8""",,
" 1,081 ",36,22.93,202205,324,TAFUNA,RES,R,87127595,"5/8""",,
" 2,306 ",30,25.17,202205,324,TAFUNA,RES,R,87127594,"5/8""",,
" 18,670 ",30,100.24,202205,324,TAFUNA,RES,R,87127593,"5/8""",,
" 3,550 ",30,30.56,202205,324,TAFUNA,RES,R,87127592,"5/8""",,
 518 ,30,17.45,202205,324,TAFUNA,RES,R,87127591,,,
" 2,978 ",30,28.09,202205,324,TAFUNA,RES,R,87127590,"5/8""",,
" 1,593 ",30,22.09,202205,324,TAFUNA,RES,R,87127589,"5/8""",,
 938 ,30,19.27,202205,324,TAFUNA,RES,R,87127588,"5/8""",,
" 4,214 ",30,33.42,202205,324,TAFUNA,RES,R,87127587,"5/8""",,
" 3,288 ",30,29.42,202205,324,TAFUNA,RES,R,87127586,"5/8""",,
" 1,643 ",30,22.31,202205,324,TAFUNA,RES,R,87127585,"5/8""",,
" 4,269 ",30,33.67,202205,324,TAFUNA,RES,R,87127584,"5/8""",,
" 7,966 ",28,49.64,202205,409,AOLOAU,RES,R,87127583,"5/8""",,
" 9,810 ",30,57.61,202205,333,TAFUNA,RES,R,87127582,"5/8""",,
" 15,925 ",30,87,202205,333,TAFUNA,RES,R,87127581,"5/8""",,
" 7,626 ",27,48.17,202205,333,TAFUNA,RES,R,87127580,"5/8""",,
 -   ,30,15.21,202205,329,TAFUNA,RES,R,87127579,"5/8""",,
" 10,350 ",30,60.12,202205,333,ILIILI,RES,R,87127578,"5/8""",,
" 2,604 ",30,26.46,202205,333,TAFUNA,RES,R,87127577,"5/8""",,
" 1,651 ",30,22.34,202205,333,TAFUNA,RES,R,87127576,"5/8""",,
" 5,160 ",30,37.51,202205,333,TAFUNA,RES,R,87127575,"5/8""",,
" 14,457 ",30,79.92,202205,333,TAFUNA,RES,R,87127574,"5/8""",,
" 10,104 ",32,58.94,202205,333,TAFUNA,RES,R,87127573,"5/8""",,
" 17,304 ",30,93.65,202205,333,TAFUNA,RES,R,87127572,"5/8""",,
" 6,394 ",30,42.84,202205,333,ILIILI,RES,R,87127571,"5/8""",,
" 5,513 ",30,39.04,202205,333,TAFUNA,RES,R,87127570,"5/8""",,
" 1,954 ",32,23.66,202205,333,TAFUNA,RES,R,87127569,"5/8""",,
" 2,026 ",28,23.97,202205,358,FUTIGA,RES,R,87127568,"5/8""",,
" 20,808 ",30,110.95,202205,333,TAFUNA,RES,R,87127567,"5/8""",,
" 6,168 ",30,41.87,202205,333,ILIILI,RES,R,87127566,"5/8""",,
" 6,128 ",30,41.69,202205,333,ILIILI,RES,R,87127565,"5/8""",,
" 12,130 ",30,68.7,202205,333,ILIILI,RES,R,87127564,"5/8""",,
" 6,450 ",30,43.08,202205,333,ILIILI,RES,R,87127563,"5/8""",,
" 148,355 ",30,848.93,202205,333,ILIILI,RES,R,87127562,"5/8""",,
" 6,182 ",30,41.93,202205,333,TAFUNA,RES,R,87127561,"5/8""",,
 810 ,32,18.72,202205,108,FAGAITUA,RES,R,87127560,"5/8""",,
